date,Portf_1d,Portf_3d,Portf_5d,Portf_10d,Portf_20d,Portf_30d,Portf_60d,TX_1d+1,TX_10d+1,TX_20d+1,TX_30d+1,TX_60d+1
2023/5/12,-0.197628458,-1.996118658,-0.702247191,0.855920114,-5.632674853,-9.149318941,-8.419689119,0.01289657,-0.40454633,-2.740327334,-1.147227533,-0.417335474
2023/5/11,-0.533557989,-0.950782998,0.113058225,2.045520023,-6.813996317,-10.26095769,-7.976097688,-0.064441294,0.525053478,-1.947395043,-2.040300676,-0.596115634
2023/5/10,-1.275298032,0.028089888,0.168776371,1.80102916,-6.657929227,-9.733840304,-4.453984438,-0.582996989,0.930081301,-2.56184855,-2.476118653,-0.551140733
2023/5/9,0.86689038,1.950254381,1.37717819,0.557568999,-5.228586442,-7.536529095,-4.29822234,-0.825973696,1.43618404,-1.9596759,-1.439666604,1.383476228
2023/5/8,0.449438202,0.5907173,0.817592332,-0.167504188,-6.5830721,-6.313859052,-7.577793859,0.10176175,0.742495039,-0.694050098,0.171843177,2.168127231
2023/5/5,0.621820237,0.056211355,1.569186876,-1.303021902,-7.122358466,-6.142894806,-7.628437987,0.511410855,0.691642651,-0.600581616,1.734066645,0.924321202
2023/5/4,-0.478199719,-0.253735551,1.930279458,-1.667593107,-9.606540623,-7.503267974,-6.10403397,0.217823051,-0.559404997,-0.742385787,1.756326026,0.40436457
2023/5/3,-0.084317032,1.426533524,1.629502573,-2.469135802,-8.962868118,-4.844753747,-4.522748026,0.366512346,-1.071111674,-1.607413011,1.337401805,1.469154261
2023/5/2,0.310121229,2.506482282,-0.808475049,-3.993524015,-8.133230054,-5.498007968,-7.493110083,-0.537221796,-2.127123977,-1.700271791,2.134366586,1.860099555
2023/4/28,1.19828816,1.400800457,-0.977107761,-5.89015654,-7.582073997,-5.815188529,-1.313226866,0.40454633,-2.091421415,-0.660736976,2.009394572,1.15150731
2023/4/27,0.9795448,-2.286032897,-2.827834766,-6.433529098,-9.920328964,-7.714586625,-3.289001711,0.946392688,-2.345268703,-0.745697897,1.43955185,4.341708543
2023/4/26,-0.77186964,-3.098827471,-3.529738744,-8.681925809,-12.05979225,-7.882165605,-3.185317416,0.338211382,-2.459534648,-2.551955025,-0.599226804,3.2873594
2023/4/25,-2.481182046,-3.021901857,-4.032921811,-8.309305374,-11.33079848,-8.596812124,-2.10455614,-0.084481414,-3.45975135,-3.374811463,-0.703952467,3.654014697
2023/4/24,0.139586823,-0.305725403,-3.211009174,-5.754072517,-8.049218149,-6.295715778,1.03656132,-1.504192537,-3.347779662,-2.835132917,-2.403754677,4.198266522
2023/4/21,-0.693096756,-1.728395062,-4.961528257,-6.426332288,-6.15666754,-7.72797527,1.450096295,0.051232789,-1.425957474,-0.566446029,-1.026290782,5.617901568
2023/4/20,0.250138966,-2.671343767,-3.710624666,-5.896164884,-4.903770103,-6.530189168,3.882264846,-0.737397495,-1.283348084,1.035263669,-1.631598841,5.449756888
2023/4/19,-1.289437586,-4.53701247,-5.340699816,-8.073582013,-5.934640523,-5.786855198,7.377342724,-0.297883128,-0.184010152,2.328758212,-0.272600482,6.513643442
2023/4/18,-1.645979493,-2.69620929,-4.456094364,-6.658130602,-2.435760171,-4.855129209,10.72296476,-0.704845815,-0.542107917,2.434590664,1.017990909,9.844054581
2023/4/17,-1.67153091,-2.499342278,-2.627430373,-4.311902918,-1.567065073,-4.336602994,13.4651889,-0.500939261,0.436129195,4.354107835,2.239094068,11.20442298
2023/4/14,0.613988254,-1.20576671,-1.541274817,-1.79781136,0.079660117,2.085590466,14.27445273,0.144227754,1.461245235,4.188413361,2.740607308,12.40146396
2023/4/13,-1.446987635,-1.576458224,-2.269762588,-3.726548445,-1.369141654,-0.583864119,15.48184228,0.828275164,1.637985978,3.875716519,2.605842234,12.06605762
2023/4/12,-0.366972477,-0.705329154,-2.887072049,-3.699011908,0.875796178,3.909240022,17.26414512,-0.690694462,-0.094750805,1.907216495,1.404116176,11.90038206
2023/4/11,0.236468734,-0.469606053,-2.304737516,-3.29531052,-0.313561536,2.58133907,16.27552575,0.031405062,0.087983912,2.854559545,3.577003122,13.4977195
2023/4/10,-0.574712644,-2.759325498,-1.729925123,-2.435273007,-0.574712644,2.147074611,13.91798863,0.454287337,0.530403486,0.976723537,2.530911901,12.83486889
2023/4/7,-0.130446126,-1.971830986,-0.260552371,0.288184438,-1.391035549,2.765100671,14.95495495,0.195979264,0.87194501,0.40544821,2.106687283,10.80892121
2023/4/6,-2.069494124,-1.032791118,-1.490619378,1.054574216,-0.673749676,2.459235499,14.69180132,0.368020305,2.348754448,-0.352778128,2.494654312,11.04247104
2023/3/31,0.230473752,1.98019802,-0.836078034,2.326797386,2.487562189,5.073825503,15.2532391,-0.655572365,2.517400637,-0.088753645,1.376559887,11.06412967
2023/3/30,0.826232894,0.359804677,-1.013941698,4.523554604,1.931610546,1.481288981,16.77631579,0.271790658,2.992923456,1.568602343,3.274526398,10.34290881
2023/3/29,0.911933299,-1.874841652,-0.717764676,2.868525896,-0.025813113,1.175548589,16.58639374,0.514612452,3.90096539,1.795135761,1.021646127,11.69078715
2023/3/28,-1.362117708,-2.712294043,0.550170291,1.911842804,3.954496208,-0.647165415,13.51671103,0.318674315,2.687891441,1.260936696,1.332646623,11.20531299
2023/3/27,-1.418799088,-0.256344527,2.583706828,2.448657188,3.26433121,0.803108808,14.27312775,-0.890657571,2.201667535,0.952258397,0.738362761,8.928075535
2023/3/24,0.050697085,3.405816086,3.189542484,4.750530786,7.900492072,2.546115874,13.19185546,-0.509049774,2.003865979,1.500288517,1.47426447,9.473757002
2023/3/23,1.127915919,4.00738202,5.594218415,3.083355108,6.076902393,5.849208479,10.72130227,0.473574541,2.764143632,3.485952133,1.973852858,8.186021213
2023/3/22,2.200681163,1.986928105,3.612217795,1.907001045,4.696725711,3.50225524,11.26640046,0.795570265,0.443965244,1.989953632,2.864380359,7.661454793
2023/3/21,0.632744529,2.168094218,1.354221986,-1.674394642,2.469798658,-1.349116096,8.191609977,1.662892268,-0.462464365,1.224069063,1.992859461,8.21681934
2023/3/20,-0.836601307,0.743691899,-0.131648236,-1.710287639,1.390002673,-1.582771147,5.713489409,0.533402719,-2.639536349,0.142551675,-0.795943257,5.994101913
2023/3/17,2.382226981,1.566648964,1.512738854,0.157109191,2.684563758,1.512738854,9.316947699,-0.194767253,-2.542157981,-1.112826451,-1.328626444,4.528455837
2023/3/16,-0.770252324,-1.632438125,-2.377841651,-2.479770295,-2.910602911,0.338400387,5.656108597,1.155841597,-1.382931046,0.273419699,0.130013651,6.256898455
2023/3/15,-0.026553372,-0.079617834,-1.645768025,-2.813629324,-1.645768025,-2.111174666,5.521300448,-0.658924843,-2.026766182,-2.77121512,-0.268535499,4.130479382
2023/3/14,-0.84254871,-1.59393781,-2.988150438,2.004333694,-2.511001812,4.77992321,3.319615912,-0.156331423,-1.389603706,-1.319770811,-0.840988485,4.449744463
2023/3/13,0.796178344,-0.78369906,-1.580720394,0.796178344,-1.606217617,4.795541085,3.798852145,-1.082474227,-1.222493888,-1.431781701,2.860971524,2.792099096
2023/3/10,-1.541677554,-2.936630603,-1.335428123,3.007107709,-2.104442712,5.098739261,2.335687127,0.232498063,-0.493684683,-0.519197487,3.910016069,4.259035335
2023/3/9,-0.026123302,-0.829230371,-0.104411381,2.904006453,2.683123155,7.102876973,5.514199063,-1.794888057,0.70239334,-0.769033581,4.388862671,3.385190626
2023/3/8,-1.391035549,0.235663786,-1.187403201,2.737520129,1.565401963,7.824911273,7.106883044,-0.114032309,1.539155075,2.40971681,6.764626219,6.533783784
2023/3/7,0.596009329,1.331245106,5.146262189,4.214765101,0.33081774,9.946754277,10.03401361,-0.560665239,1.694369282,2.466731581,6.713088156,7.688634193
2023/3/6,1.047394606,-0.387196696,2.41507431,3.154236835,0.12973534,11.1399113,5.812996984,0.633954609,2.857513121,1.893574684,7.198811453,9.664939551
2023/3/3,-0.313234143,3.439869989,4.401312192,2.523489933,1.353503185,13.97278262,4.859967051,0.992381074,1.466615206,1.245186136,6.804793825,7.284227709
2023/3/2,-1.109963862,1.671974522,3.011562248,-0.441787942,2.889831874,16.37302552,7.041072925,0.495431733,1.679578152,1.534161087,8.737120579,5.712351946
2023/3/1,4.929577465,5.904866047,3.97208803,1.201671891,0.722791327,18.60878085,7.880813144,-0.012866701,-0.759849307,1.794603091,8.768983134,6.452054795
